id,isbn,title,authors,language,genre,published,published_date,page_count,size,created_date,updated_date,deleted_date
3,0195153448,Wallis,"{""Anne Edwards""}",en,"{Historical,""Historical Fiction"",Fiction,Novels}",Oxford University Press,1991,478,15.5x20.5,2024-02-26,,
6,0195153448,From Potter's Field,"{""Patricia Daniels Cornwell""}",en,"{Mystery,Fiction,Mystery,Crime,Thriller,Thriller,""Mystery Thriller"",Suspense,Mystery,""Murder Mystery"",Mystery,Detective,Adult,Audiobook}",Oxford University Press,1995,340,15.5x20.5,2024-02-26,,
10,0195153448,Deep Waters,"{""Barbara Nadel""}",en,"{Mystery,Mystery,Crime,Fiction}",Oxford University Press,2002,441,15.5x20.5,2024-02-26,,
20,0195153448,Foundling,"{""June Oldham""}",en,"{""Science Fiction"",Childrens,""Science Fiction"",Dystopia,Fiction,""Young Adult""}",Oxford University Press,1995,215,15.5x20.5,2024-02-26,,
24,0195153448,Ice,"{""Ed McBain""}",en,"{Mystery,Mystery,Crime,Fiction,Mystery,Detective,Thriller,Thriller,""Mystery Thriller"",""Emergency Services"",Police,""New York"",Suspense,Adventure}",Oxford University Press,1984-04,320,15.5x20.5,2024-02-26,,
25,0195153448,Daring Moves,"{""Linda Lael Miller""}",en,"{Romance,Romance,""Contemporary Romance"",Contemporary,Fiction,Adult,Holiday,Christmas,""Category Romance"",Harlequin}",Oxford University Press,1996-02,248,15.5x20.5,2024-02-26,,
26,0195153448,Alchemy and Academe,"{""Anne McCaffrey""}",en,"{Fantasy,Anthologies,""Short Stories"",""Science Fiction Fantasy"",Fiction,""Science Fiction"",Anthologies,Collections,Esoterica,Alchemy,Fantasy,Magic}",Oxford University Press,1987-03-12,271,15.5x20.5,2024-02-26,,
27,0195153448,Houses of Stone,"{""Barbara Michaels""}",en,"{Mystery,Gothic,Fiction,Romance,Suspense,Gothic,""Gothic Romance"",Romance,""Romantic Suspense"",Fantasy,Paranormal,Fantasy,Supernatural,Thriller,""Mystery Thriller""}",Oxford University Press,1994,384,15.5x20.5,2024-02-26,,
28,0195153448,Nemesis,"{""Bill Napier""}",en,"{Thriller,Fiction,Adventure,""Science Fiction"",Mystery,Suspense,Thriller,""Mystery Thriller""}",Oxford University Press,1999,472,15.5x20.5,2024-02-26,,
29,0195153448,Who Has Seen the Wind,"{""W. O. Mitchell""}",en,"{Fiction,Cultural,Canada,Classics,Literature,Literature,""Canadian Literature"",""Young Adult"",""Coming Of Age"",Historical,""Historical Fiction"",""Young Adult"",Novels,Academic,""Read For School""}",Oxford University Press,1985,293,15.5x20.5,2024-02-26,,
