id,id_dau_sach,id_user,quantity,img_link,price,percent_damage,deposit,penalty_fee,created_date,updated_date,deleted_date
1,3,1,8,http://books.google.com/books/content?id=wOyMH9Os4KAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,300.00,0.00,224100.00,2400.00,2024-02-27,,
2,6,2,2,http://books.google.com/books/content?id=YJ18PwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2800.00,2.00,414800.00,4600.00,2024-02-27,,
3,10,3,6,http://books.google.com/books/content?id=HDcBHAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1400.00,0.00,46000.00,500.00,2024-02-27,,
4,20,4,9,http://books.google.com/books/content?id=8SM1HQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2600.00,9.00,383700.00,4200.00,2024-02-27,,
5,24,5,10,http://books.google.com/books/content?id=vhmhESrfd5IC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1600.00,3.00,376600.00,4100.00,2024-02-27,,
6,25,6,8,http://books.google.com/books/content?id=jFUo_bEg4NcC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1200.00,0.00,105700.00,1100.00,2024-02-27,,
7,26,7,5,http://books.google.com/books/content?id=vpchAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2000.00,10.00,120300.00,1300.00,2024-02-27,,
8,27,8,7,http://books.google.com/books/content?id=4QOwOJYWCxMC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1400.00,1.00,76500.00,800.00,2024-02-27,,
9,28,9,3,http://books.google.com/books/content?id=zrWjPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,800.00,3.00,194200.00,2100.00,2024-02-27,,
10,29,10,5,http://books.google.com/books/content?id=9z1jncxxEYAC&printsec=frontcover&img=1&zoom=1&source=gbs_api,1000.00,3.00,487000.00,5400.00,2024-02-27,,
11,31,11,5,http://books.google.com/books/content?id=iBWYkb9DnzYC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2800.00,7.00,492800.00,5400.00,2024-02-27,,
12,32,12,9,http://books.google.com/books/content?id=pUKvPwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1700.00,10.00,61400.00,600.00,2024-02-27,,
13,33,13,6,http://books.google.com/books/content?id=Qxc_AAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,800.00,0.00,336400.00,3700.00,2024-02-27,,
14,36,14,4,http://books.google.com/books/content?id=58fXGwAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,2300.00,3.00,251000.00,2700.00,2024-02-27,,
15,39,15,9,http://books.google.com/books/content?id=aY9-0TdAntMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api,2200.00,9.00,230900.00,2500.00,2024-02-27,,
16,40,16,5,http://books.google.com/books/content?id=SzA9PgAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,1700.00,0.00,87700.00,900.00,2024-02-27,,
17,42,17,8,http://books.google.com/books/content?id=PVgCAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,100.00,3.00,189700.00,2100.00,2024-02-27,,
18,45,18,5,http://books.google.com/books/content?id=0csW4LZnloQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,2300.00,9.00,144200.00,1600.00,2024-02-27,,
